id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
276,How far have we been on the path of LLM-enhanced vulnerability detection,"Shen, Wuqiang; Yang, Yi; Zhang, Xiaolu; Cui, Lei; Wang, Yechao",2025,Proceedings of the 2025 International Symposium on Artificial Intelligence and Computational Social Sciences,String B,EXCLUDE,EC-N - Bài khảo sát về phát hiện lỗ hổng bằng LLM,x,
277,Human-AI Collaboration in Software Engineering: Lessons Learned from a Hands-On Workshop,"Hamza, Muhammad; Siemon, Dominik; Akbar, Muhammad Azeem; Rahman, Tahsinur",2024,Proceedings of the 7th ACM/IEEE International Workshop on Software-intensive Business,String A,EXCLUDE,EC-N - Nghiên cứu về sự cộng tác giữa người và AI trong SE,x,
278,HumanEval-V: Systematic Evaluation of Visual Reasoning in Large Multimodal Models for Code Generation,"Zhang, Fengji; Wu, Linquan; Bai, Huiyu; Lin, Guancheng; Li, Xiao; Yu, Xiao; Wang, Yue; Chen, Bei; Keung, Jacky",2026,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Sinh mã nguồn từ sơ đồ thị giác,x,
279,HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agents,"Wu, Jie Jw; Fard, Fatemeh H.",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Benchmark khả năng giao tiếp/làm rõ yêu cầu khi sinh mã,x,
280,Hybrid Automated Program Repair by Combining Large Language Models and Program Analysis,"Li, Fengjie; Jiang, Jiajun; Sun, Jiajun; Zhang, Hongyu",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Sửa lỗi chương trình tự động (APR),x,
281,ICAM-Trans: Implicit-Context-Aware Multi-Agent Framework for Function-Level Code Translation,"Chen, Ruolin; Wang, Jiexin; Cao, Liuwen; Cai, Yi; Zhao, Mengchen",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC-O - Dịch mã nguồn giữa các ngôn ngữ (Code Translation), không tập trung sinh unit test.",x,
282,"If At First You Don’t Succeed, Try, Try, Again...? Insights and LLM-informed Tooling for Detecting Retry Bugs in Software Systems","Stoica, Bogdan Alexandru; Sethi, Utsav; Su, Yiming; Zhou, Cyrus; Lu, Shan; Mace, Jonathan; Musuvathi, Madanlal; Nath, Suman",2024,Proceedings of the ACM SIGOPS 30th Symposium on Operating Systems Principles,String B,EXCLUDE,EC-O - Phát hiện lỗi liên quan đến cơ chế thử lại (retry),x,
283,Improved Program Repair Methods using Refactoring with GPT Models,"Ishizue, Ryosuke; Sakamoto, Kazunori; Washizaki, Hironori; Fukazawa, Yoshiaki",2024,Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,String A,EXCLUDE,EC-O - Sửa lỗi chương trình (APR) trong giáo dục,x,
284,Improving Deep Assertion Generation via Fine-Tuning Retrieval-Augmented Pre-Trained Language Models,"Zhang, Quanjun; Fang, Chunrong; Zheng, Yi; Zhang, Yaxin; Zhao, Yuan; Huang, Rubing; Zhou, Jianyi; Yang, Yun; Zheng, Tao; Chen, Zhenyu",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",INCLUDE,"IC-P, IC-I, IC-E (Cải thiện việc sinh unit test assertion cho Java)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
285,Improving FIM Code Completions via Context & Curriculum Based Learning,"Sagtani, Hitesh; Mehrotra, Rishabh; Liu, Beyang",2025,Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining,String A,EXCLUDE,"EC-O - Tập trung vào hoàn thiện mã nguồn (Code Completion), không phải unit test.",x,
286,In-Context Learning as an Effective Estimator of Functional Correctness of LLM-Generated Code,"Das, Susmita; Ghosh, Madhusudan; Swami, Priyanka; Ganguly, Debasis; Calikli, Gul",2025,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,String A,EXCLUDE,EC-O - Ước tính độ chính xác của mã được sinh mà không cần test case,x,
287,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,"Santos, Shexmo Richarlison Ribeiro Dos; Fernandes, Raiane Eunice S.; Santos, Marcos Cesar Barbosa Dos; Soares, Michel S.; Rocha, Fabio Gomes; Marczak, Sabrina",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,"String A, String B, String C",EXCLUDE,"EC-O - Sinh kiểm thử BDD dựa trên user story, không phải unit test hàm độc lập",x,
288,Individualized Quizzes From Student Code with LLMs,"Novak, Ed; McDanel, Bradley",2026,Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.2,String A,EXCLUDE,EC-O - Sinh câu đố (Quizzes) dựa trên mã nguồn sinh viên,x,
289,"Integrating LLMs in Software Engineering Education: Motivators, Demotivators, and a Roadmap Towards a Framework for Finnish Higher Education Institutes","Khan, Maryam; Akbar, Muhammad Azeem; Kasurinen, Jussi",2025,Proceedings of the 2025 29th International Conference on Evaluation and Assessment in Software Engineering Companion,String A,EXCLUDE,EC-N - Lộ trình và khảo sát sơ bộ về LLM trong giáo dục SE.,x,
290,Interleaving Large Language Models for Compiler Testing,"Ni, Yunbo; Li, Shaohua",2025,Proceedings of the ACM on Programming Languages,String B,EXCLUDE,EC-O - Kiểm thử trình biên dịch C,x,
291,Investigating Documented Privacy Changes in Android OS,"Yan, Chuan; Meng, Mark Huasong; Xie, Fuman; Bai, Guangdong",2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Kiểm thử tuân thủ quyền riêng tư trên Android,x,
292,JavaBench: A Benchmark of Object-Oriented Code Generation for Evaluating Large Language Models,"Cao, Jialun; Chen, Zhiyong; Wu, Jiarong; Cheung, Shing-Chi; Xu, Chang",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B",EXCLUDE,EC-O - Benchmark cho sinh mã nguồn Java hướng đối tượng,x,
293,Just-In-Time Quality Assurance with Assistance of Automated Defect Prediction and Code Testing,"Tian, Dawei; Song, Liyan; Su, Xiaohong",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,"EC-O - Dự đoán lỗi và quy trình QA, không tập trung vào sinh unit test bằng LLM",x,
294,Kitten: A Simple Yet Effective Baseline for Evaluating LLM-Based Compiler Testing Techniques,"Xie, Yuanmin; Xu, Zhenyang; Tian, Yongqiang; Zhou, Min; Zhou, Xintong; Sun, Chengnian",2025,Proceedings of the 34th ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,EXCLUDE,EC-O - Kiểm thử trình biên dịch,x,
295,Knowledge Transfer from High-Resource to Low-Resource Programming Languages for Code LLMs,"Cassano, Federico; Gouwar, John; Lucchetti, Francesca; Schlesinger, Claire; Freeman, Anders; Anderson, Carolyn Jane; Feldman, Molly Q; Greenberg, Michael; Jangda, Abhinav; Guha, Arjun",2024,Proceedings of the ACM on Programming Languages,"String A, String B",UNSURE,"Có đề cập đến sinh unit test để lọc dữ liệu, cần xác nhận thực nghiệm unit test Java/Python",EXCLUDE,"EC-O: Trọng tâm chính của bài báo là dịch mã nguồn tự động (code translation) và cải thiện hiệu năng sinh mã cho ngôn ngữ lập trình nghèo tài nguyên (low-resource), không phải sinh unit test tự động "
296,LDMDroid: Leveraging LLMs for Detecting Data Manipulation Errors in Android Apps,"Xiao, Xiangyang; Huang, Huaxun; Wu, Rongxin",2026,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Kiểm thử lỗi thao tác dữ liệu trên giao diện Android,x,
297,LEAM++: Learning for Selective Mutation Fault Construction,"Tian, Zhao; Chen, Junjie; Wang, Dong; Zhu, Qihao; Fan, Xingyu; Zhang, Lingming",2025,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Xây dựng lỗi đột biến (Mutation fault construction),x,
298,LIReDroid: LLM-Enhanced Test Case Generation for Static Sensitive Behavior Replication,"Wang, Yin; Fan, Ming; Zhang, Xicheng; Shi, Jifei; Qiu, Zhaoyu; Wang, Haijun; Liu, Ting",2024,Proceedings of the 15th Asia-Pacific Symposium on Internetware,String A,EXCLUDE,"EC-O - Kiểm thử hành vi ứng dụng Android độc hại, không phải unit testing cho hàm Java/Python",x,
299,LLM for Mobile: An Initial Roadmap,"Chen, Daihang; Liu, Yonghui; Zhou, Mingyi; Zhao, Yanjie; Wang, Haoyu; Wang, Shuai; Chen, Xiao; Bissyandé, Tegawendé F.; Klein, Jacques; Li, Li",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Lộ trình nghiên cứu LLM cho hệ sinh thái di động,x,
300,LLM-Based Code Generation Method for Golang Compiler Testing,"Gu, Qiuhan",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String B,EXCLUDE,EC-O - Kiểm thử trình biên dịch Golang,x,
301,LLM-Based Misconfiguration Detection for AWS Serverless Computing,"Wen, Jinfeng; Chen, Zhenpeng; Zhu, Zixi; Sarro, Federica; Liu, Yi; Ping, Haodi; Wang, Shangguang",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Phát hiện sai cấu hình hệ thống AWS Serverless,x,
302,LLM-CompDroid: Repairing Configuration Compatibility Bugs in Android Apps with Pre-trained Large Language Models,"Liu, Zhijie; Tang, Yutian; Li, Meiyun; Jin, Xin; Long, Yunfei; Zhang, Liang Feng; Luo, Xiapu",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Sửa lỗi tương thích cấu hình XML trên Android,x,
303,LLM-Empowered Three-Dimensional Synergetic Teaching Model and Practice in Programming Education,"Huang, Wanrong; Li, Shijie; Yang, Shaowu; Dong, Wei; Tang, Yuhua",2025,Proceedings of the 2025 2nd International Symposium on Artificial Intelligence for Education,String A,EXCLUDE,EC-O - Mô hình giảng dạy lập trình sử dụng LLM,x,
304,LLM-Enhanced Test Case Prioritization for Complex Software Systems,"Zosimadis, Ilias; Stamelos, Ioannis",2024,Proceedings of the 28th Pan-Hellenic Conference on Progress in Computing and Informatics,String B,EXCLUDE,EC-O - Ưu tiên hóa test case (Test Case Prioritization),x,
305,LLM-Explorer: Towards Efficient and Affordable LLM-based Exploration for Mobile Apps,"Zhao, Shanhui; Wen, Hao; Du, Wenjie; Liang, Cheng; Liu, Yunxin; Ye, Xiaozhou; Ouyang, Ye; Li, Yuanchun",2025,Proceedings of the 31st Annual International Conference on Mobile Computing and Networking,"String A, String B",EXCLUDE,EC-O - Khám phá ứng dụng di động tự động (GUI Testing),x,
306,LLM-Powered Silent Bug Fuzzing in Deep Learning Libraries via Versatile and Controlled Bug Transfer,"Zhang, Kunpeng; Xiao, Dongwei; Wu, Daoyuan; Wang, Shuai; Zhao, Jiali; Lin, Yuanyi; Xu, Tongtong; Wang, Shaohua",2026,Proceedings of the ACM on Programming Languages,String A,EXCLUDE,EC-O - Fuzzing phát hiện lỗi trong thư viện Deep Learning,x,
307,LLM-based and Retrieval-Augmented Control Code Generation,"Koziolek, Heiko; Grüner, Sten; Hark, Rhaban; Ashiwal, Virendra; Linsbauer, Sofia; Eskandani, Nafise",2024,Proceedings of the 1st International Workshop on Large Language Models for Code,String A,EXCLUDE,EC-O - Sinh mã điều khiển công nghiệp (IEC 61131-3),x,
308,LLM4FP: LLM-Based Program Generation for Triggering Floating-Point Inconsistencies Across Compilers,"Wang, Yutong; Rubio-González, Cindy",2025,"Proceedings of the SC '25 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",String A,EXCLUDE,EC-O - Kiểm thử compiler để phát hiện lỗi tính toán số thực,x,
309,LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing,"Xue, Zhiyi; Li, Liangguo; Tian, Senyue; Chen, Xiaohong; Li, Pingping; Chen, Liangyu; Jiang, Tingting; Zhang, Min",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,EXCLUDE,EC-O - Kiểm thử chấp nhận (Acceptance Testing) dựa trên quy tắc nghiệp vụ FinTech,x,
310,LLM4TDD: Best Practices for Test Driven Development Using Large Language Models,"Piya, Sanyogita; Sullivan, Allison",2024,Proceedings of the 1st International Workshop on Large Language Models for Code,String A,EXCLUDE,"EC-O - Tập trung vào sinh mã nguồn (Program synthesis) theo phương pháp TDD, không phải sinh unit test cho hàm có sẵn",x,
311,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Ouedraogo, Wendkuuni C.; Kabore, Kader; Tian, Haoye; Song, Yewei; Koyuncu, Anil; Klein, Jacques; Lo, David; Bissyande, Tegawende F.",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B",INCLUDE,"IC-P, IC-I, IC-E (Đánh giá sinh unit test Java bằng LLM và prompt)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
312,LLMs for Intelligent Software Testing: A Comparative Study,"Boukhlif, Mohamed; Kharmoum, Nassim; Hanine, Mohamed",2024,"Proceedings of the 7th International Conference on Networking, Intelligent Systems and Security","String A, String B, String C",EXCLUDE,EC-N - Bài viết dạng nghiên cứu so sánh lý thuyết về kiểm thử thông minh,x,
313,LRASGen: LLM-based RESTful API Specification Generation,"Deng, Sida; Huang, Rubing; Zhang, Man; Cui, Chenhui; Towey, Dave; Wang, Rongcun",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Sinh đặc tả API RESTful,x,
314,LSPAI: An IDE Plugin for LLM-Powered Multi-Language Unit Test Generation with Language Server Protocol,"Go, Gwihwan; Zhou, Chijin; Zhang, Quan; Jiang, Yu; Wei, Zhao",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B",INCLUDE,"IC-P, IC-I, IC-E (Plugin IDE sinh unit test đa ngôn ngữ Java/Python bằng LLM)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
315,Large Language Model Driven Automated Network Protocol Testing,"Wei, Yunze; Chi, Kaiwen; Du, Shibo; Xie, Xiaohui; Geng, Ziyu; Han, Yuwei; Li, Zhen; Li, Zhanyou; Cui, Yong",2025,Proceedings of the Applied Networking Research Workshop on ZZZ,String A,EXCLUDE,EC-O - Kiểm thử giao thức mạng,x,
316,Large Language Model Supply Chain: A Research Agenda,"Wang, Shenao; Zhao, Yanjie; Hou, Xinyi; Wang, Haoyu",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Lộ trình nghiên cứu về chuỗi cung ứng LLM,x,
317,Large Language Model-Based Agents for Software Engineering: A Survey,"Liu, Junwei; Wang, Kaixin; Chen, Yixuan; Peng, Xin; Chen, Zhenpeng; Zhang, Lingming; Lou, Yiling",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài khảo sát (Survey) về các agent trong SE,x,
318,Large Language Models Are Zero-Shot Fuzzers: Fuzzing Deep-Learning Libraries via Large Language Models,"Deng, Yinlin; Xia, Chunqiu Steven; Peng, Haoran; Yang, Chenyuan; Zhang, Lingming",2023,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B",EXCLUDE,EC-O - Fuzzing thư viện Deep Learning (TensorFlow/PyTorch),x,
319,Large Language Models Can Connect the Dots: Exploring Model Optimization Bugs with Domain Knowledge-Aware Prompts,"Guan, Hao; Bai, Guangdong; Liu, Yepang",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B",EXCLUDE,EC-O - Kiểm thử lỗi tối ưu hóa mô hình Deep Learning,x,
320,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,"Li, Tao; Cui, Chenhui; Huang, Rubing; Towey, Dave; Ma, Lei",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Kiểm thử biểu mẫu Web,x,
321,Large Language Models for Combinatorial Optimization: A Systematic Review,"Da Ros, Francesca; Soprano, Michael; Di Gaspero, Luca; Roitero, Kevin",2026,ACM Computing Surveys,String A,EXCLUDE,EC-N - Bài tổng quan hệ thống về LLM cho tối ưu hóa tổ hợp,x,
322,Large Language Models for Constructing and Optimizing Machine Learning Workflows: A Survey,"Gu, Yang; You, Hengyu; Cao, Jian; Yu, Muran; Fan, Haoran; Qian, Shiyou",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài tổng quan về quy trình Machine Learning,x,
323,Large Language Models for Cyber Security: A Systematic Literature Review,"Xu, Hanxiang; Wang, Shenao; Li, Ningke; Wang, Kailong; Zhao, Yanjie; Chen, Kai; Yu, Ting; Liu, Yang; Wang, Haoyu",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài tổng quan hệ thống về LLM trong an ninh mạng,x,
324,Large Language Models for EDA: Future or Mirage?,"He, Zhuolun; Pu, Yuan; Wu, Haoyuan; Qiu, Tairu; Yu, Bei",2025,ACM Transactions on Design Automation of Electronic Systems,"String A, String B",EXCLUDE,EC-N - Bài khảo sát về LLM cho tự động hóa thiết kế điện tử (EDA),x,
325,Large Language Models for Equivalent Mutant Detection: How Far Are We?,"Tian, Zhao; Shu, Honglin; Wang, Dong; Cao, Xuejie; Kamei, Yasutaka; Chen, Junjie",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B, String C",EXCLUDE,"EC-O - Phát hiện mutant tương đương, không phải sinh unit test case",x,
326,Large Language Models for Software Engineering: A Systematic Literature Review,"Hou, Xinyi; Zhao, Yanjie; Liu, Yue; Yang, Zhou; Wang, Kailong; Li, Li; Luo, Xiapu; Lo, David; Grundy, John; Wang, Haoyu",2024,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài tổng quan hệ thống (SLR) về LLM cho kỹ thuật phần mềm,x,
327,Large Language Models for Test-Free Fault Localization,"Yang, Aidan Z. H.; Le Goues, Claire; Martins, Ruben; Hellendoorn, Vincent",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String B,EXCLUDE,EC-O - Định vị lỗi tự động không cần test,x,
328,Large Language Models in Computer Science Education: A Systematic Literature Review,"Raihan, Nishat; Siddiq, Mohammed Latif; Santos, Joanna C.S.; Zampieri, Marcos",2025,Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,String A,EXCLUDE,EC-N - Bài tổng quan về LLM trong giáo dục CNTT,x,
329,Late Breaking Results: LLM-assisted Automated Incremental Proof Generation for Hardware Verification,"Qayyum, Khushboo; Hassan, Muhammad; Ahmadi-Pour, Sallar; Jha, Chandan Kumar; Drechsler, Rolf",2024,Proceedings of the 61st ACM/IEEE Design Automation Conference,String B,EXCLUDE,EC-O - Xác minh phần cứng và sinh chứng minh (Proof generation),x,
330,Learning to Detect and Localize Multilingual Bugs,"Yang, Haoran; Nong, Yu; Zhang, Tao; Luo, Xiapu; Cai, Haipeng",2024,Proceedings of the ACM on Software Engineering,String B,EXCLUDE,EC-O - Định vị lỗi đa ngôn ngữ (Python-C),x,
331,Less Is More: Failing Test Generation with Large Language Models,"Li, Tsz-On; Yan, Xiaochuan; Zong, Wenxi; Wang, Yibo; Tian, Haoye; Xu, Congying; Wang, Ying; Cheung, Shing-Chi; Kramer, Jeff",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",UNSURE,"Sinh ""failing tests"" cho các đoạn mã nhỏ, cần xác nhận có phải Unit Test cho hàm độc lập",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
332,Less Is More: On the Importance of Data Quality for Unit Test Generation,"Zhang, Junwei; Hu, Xing; Gao, Shan; Xia, Xin; Lo, David; Li, Shanping",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Nghiên cứu tác động của chất lượng dữ liệu đến sinh unit test bằng LLM)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
333,Less Is More: Unlocking Semi-Supervised Deep Learning for Vulnerability Detection,"Yu, Xiao; Lin, Guancheng; Hu, Xing; Keung, Jacky Wai; Xia, Xin",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Phát hiện lỗ hổng phần mềm bằng học sâu bán giám sát,x,
334,Leveraging GPT-4 for Vulnerability-Witnessing Unit Test Generation,"Antal, Gábor; Bán, Dénes; Isztin, Martin; Ferenc, Rudolf; Hegedus, Péter",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,"String A, String B",INCLUDE,"IC-P, IC-I, IC-E (Sử dụng GPT-4 sinh unit test chứng minh lỗ hổng)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
335,Leveraging LLM Enhanced Commit Messages to Improve Machine Learning Based Test Case Prioritization,"Mahmoud, Yara; Azim, Akramul; Liscano, Ramiro; Smith, Kevin; Chang, Yee-Kang; Tauseef, Qasim; Seferi, Gkerta",2025,Proceedings of the 21st International Conference on Predictive Models and Data Analytics in Software Engineering,String B,EXCLUDE,EC-O - Ưu tiên hóa test case sử dụng thông điệp commit,x,
336,Leveraging Large Language Models for Preliminary Security Risk Analysis: A Mission-Critical Case Study,"Esposito, Matteo; Palagiano, Francesco",2024,Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,String A,EXCLUDE,EC-O - Phân tích rủi ro bảo mật (Security Risk Analysis) không phải unit test.,x,
337,Leveraging Large Language Models to Improve REST API Testing,"Kim, Myeongsoo; Stennett, Tyler; Shah, Dhruv; Sinha, Saurabh; Orso, Alessandro",2024,Proceedings of the 2024 ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results,String B,EXCLUDE,"EC-O - Kiểm thử API RESTful, không phải unit test mã nguồn",x,
338,Leveraging Search-Based and Pre-Trained Code Language Models for Automated Program Repair,"Lijzenga, Oebele; Hemati Moghadam, Iman; Zaytsev, Vadim",2025,Proceedings of the 40th ACM/SIGAPP Symposium on Applied Computing,String B,EXCLUDE,EC-O - Sửa lỗi chương trình tự động (APR),x,
339,Liberating Libraries through Automated Fuzz Driver Generation: Striking a Balance without Consumer Code,"Toffalini, Flavio; Badoux, Nicolas; Tsinadze, Zurab; Payer, Mathias",2025,Proceedings of the ACM on Software Engineering,"String A, String B",EXCLUDE,EC-O - Sinh driver kiểm thử fuzzing cho thư viện,x,
340,LifeFuzz: Lifecycle-Guided Fuzzing for Windows Driver Cross-Handler Vulnerabilities,"Yu, Chendong; Li, Yuekang; Xiao, Yang; Lu, Jie; Li, Yeting; Bo, Defang; Huo, Wei",2026,Proceedings of the 21st European Conference on Computer Systems,String B,EXCLUDE,EC-O - Kiểm thử lỗi trong driver Windows,x,
341,LlamaRestTest: Effective REST API Testing with Small Language Models,"Kim, Myeongsoo; Sinha, Saurabh; Orso, Alessandro",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử REST API, không phải unit test hàm Java/Python",x,
342,LogBase: A Large-Scale Benchmark for Semantic Log Parsing,"Zhang, Chenbo; Xu, Wenying; Liu, Jinbu; Zhang, Lu; Liu, Guiyang; Guan, Jihong; Zhou, Qi; Zhou, Shuigeng",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Phân tách log (log parsing),x,
343,MEIC: Re-thinking RTL Debug Automation using LLMs,"Xu, Ke; Sun, Jialin; Hu, Yuchen; Fang, Xinwei; Shan, Weiwei; Wang, Xi; Jiang, Zhe",2024,Proceedings of the 43rd IEEE/ACM International Conference on Computer-Aided Design,String B,EXCLUDE,EC-O - Tự động gỡ lỗi mã nguồn phần cứng (RTL),x,
344,MFTCoder: Boosting Code LLMs with Multitask Fine-Tuning,"Liu, Bingchang; Chen, Chaoyu; Gong, Zi; Liao, Cong; Wang, Huan; Lei, Zhichao; Liang, Ming; Chen, Dajun; Shen, Min; Zhou, Hailian; Jiang, Wei; Yu, Hang; Li, Jianguo",2024,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,String A,EXCLUDE,EC-O - Khung làm việc tinh chỉnh LLM cho code nói chung,x,
345,MQueez: Specification-Driven Fuzzing for MQTT Broker (Registered Report),"Liu, Xinpeng; Wang, Qinying; Liu, Peiyu; Wang, Wenhai; Ji, Shouling",2025,Proceedings of the 34th ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE,"EC-O - Fuzzing cho MQTT broker, không phải unit test Java/Python.",x,
346,MR-Adopt: Automatic Deduction of Input Transformation Function for Metamorphic Testing,"Xu, Congying; Chen, Songqiang; Wu, Jiarong; Cheung, Shing-Chi; Terragni, Valerio; Zhu, Hengcheng; Cao, Jialun",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Dùng LLM sinh hàm biến đổi đầu vào để tăng coverage và mutation score)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E "
347,MR-Scout: Automated Synthesis of Metamorphic Relations from Existing Test Cases,"Xu, Congying; Terragni, Valerio; Zhu, Hengcheng; Wu, Jiarong; Cheung, Shing-Chi",2024,ACM Transactions on Software Engineering and Methodology,"String A, String C",EXCLUDE,EC-O - Tự động tổng hợp quan hệ biến thái (Metamorphic Relations) từ test case có sẵn,x,
348,MTF: an Open-Source Metamorphic Testing Framework for LLM-based systems,"Henry, Theis; Savourat, Sian; Du Bousquet, Lydie; Nakamura, Masahide",2025,Proceedings of the 2025 5th International Conference on Artificial Intelligence and Application Technologies,String A,EXCLUDE,EC-O - Kiểm thử Metamorphic cho ứng dụng dịch vụ web,x,
349,Magneto: A Step-Wise Approach to Exploit Vulnerabilities in Dependent Libraries via LLM-Empowered Directed Fuzzing,"Zhou, Zhuotong; Yang, Yongzhuo; Wu, Susheng; Huang, Yiheng; Chen, Bihuan; Peng, Xin",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String B,EXCLUDE,EC-O - Sinh dữ liệu khai thác lỗ hổng (Exploit) qua directed fuzzing,x,
350,Make LLM a Testing Expert: Bringing Human-like Interaction to Mobile GUI Testing via Functionality-aware Decisions,"Liu, Zhe; Chen, Chunyang; Wang, Junjie; Chen, Mengzhuo; Wu, Boyu; Che, Xing; Wang, Dandan; Wang, Qing",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"String A, String B",EXCLUDE,EC-O - Kiểm thử giao diện di động (Mobile GUI Testing),x,
351,Mapping the Trust Terrain: LLMs in Software Engineering - Insights and Perspectives,"Khati, Dipin; Liu, Yijin; Palacio, David N.; Zhang, Yixuan; Poshyvanyk, Denys",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài tổng quan về khía cạnh tin cậy (Trust) trong LLM cho SE.,x,
352,MeTMaP: Metamorphic Testing for Detecting False Vector Matching Problems in LLM Augmented Generation,"Wang, Guanyu; Li, Yuekang; Liu, Yi; Deng, Gelei; Li, Tianlin; Xu, Guosheng; Liu, Yang; Wang, Haoyu; Wang, Kailong",2024,Proceedings of the 2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering,String A,EXCLUDE,EC-O - Kiểm thử cơ chế Vector Matching trong RAG,x,
353,Measuring What Matters: An Aggregate Metric for Assessing Enterprise Code Summaries,"Saxena, Ashita; Kodeswaran, Palanivel; Sen, Sayandeep; Tamilselvam, Srikanth",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A,EXCLUDE,"EC-O - Tập trung vào tóm tắt mã nguồn (Code Summarization), không phải unit test.",x,
